query_id Q0 docid rank BM25_Stopping_score system_name
42 Q0 2641 1 0.917419 BM25_Stopping
42 Q0 2318 2 0.636816 BM25_Stopping
42 Q0 2231 3 0.578425 BM25_Stopping
42 Q0 204 4 0.568004 BM25_Stopping
42 Q0 2019 5 0.549061 BM25_Stopping
42 Q0 633 6 0.544942 BM25_Stopping
42 Q0 3048 7 0.531277 BM25_Stopping
42 Q0 2545 8 0.520237 BM25_Stopping
42 Q0 2215 9 0.488063 BM25_Stopping
42 Q0 2984 10 0.475724 BM25_Stopping
42 Q0 462 11 0.475192 BM25_Stopping
42 Q0 2344 12 0.474165 BM25_Stopping
42 Q0 1653 13 0.465255 BM25_Stopping
42 Q0 2528 14 0.464003 BM25_Stopping
42 Q0 2942 15 0.433447 BM25_Stopping
42 Q0 2402 16 0.426760 BM25_Stopping
42 Q0 1527 17 0.424341 BM25_Stopping
42 Q0 2746 18 0.422322 BM25_Stopping
42 Q0 2789 19 0.411812 BM25_Stopping
42 Q0 1827 20 0.411607 BM25_Stopping
42 Q0 2811 21 0.409014 BM25_Stopping
42 Q0 2370 22 0.405844 BM25_Stopping
42 Q0 2494 23 0.397211 BM25_Stopping
42 Q0 2232 24 0.391513 BM25_Stopping
42 Q0 2529 25 0.383002 BM25_Stopping
42 Q0 1938 26 0.374557 BM25_Stopping
42 Q0 3136 27 0.345482 BM25_Stopping
42 Q0 2910 28 0.338679 BM25_Stopping
42 Q0 1689 29 0.337461 BM25_Stopping
42 Q0 1940 30 0.330651 BM25_Stopping
42 Q0 2788 31 0.327655 BM25_Stopping
42 Q0 1335 32 0.326278 BM25_Stopping
42 Q0 2542 33 0.323176 BM25_Stopping
42 Q0 3132 34 0.319187 BM25_Stopping
42 Q0 2894 35 0.317585 BM25_Stopping
42 Q0 3130 36 0.313911 BM25_Stopping
42 Q0 2991 37 0.313398 BM25_Stopping
42 Q0 2107 38 0.305977 BM25_Stopping
42 Q0 851 39 0.302254 BM25_Stopping
42 Q0 1771 40 0.297558 BM25_Stopping
42 Q0 2054 41 0.293337 BM25_Stopping
42 Q0 3089 42 0.282321 BM25_Stopping
42 Q0 3169 43 0.279830 BM25_Stopping
42 Q0 2319 44 0.275717 BM25_Stopping
42 Q0 860 45 0.275313 BM25_Stopping
42 Q0 2852 46 0.273938 BM25_Stopping
42 Q0 1719 47 0.260604 BM25_Stopping
42 Q0 268 48 0.260548 BM25_Stopping
42 Q0 1792 49 0.256772 BM25_Stopping
42 Q0 1620 50 0.250587 BM25_Stopping
42 Q0 678 51 0.248458 BM25_Stopping
42 Q0 1374 52 0.244967 BM25_Stopping
42 Q0 2251 53 0.243173 BM25_Stopping
42 Q0 1726 54 0.242950 BM25_Stopping
42 Q0 2902 55 0.242646 BM25_Stopping
42 Q0 2553 56 0.240346 BM25_Stopping
42 Q0 535 57 0.238221 BM25_Stopping
42 Q0 2310 58 0.237459 BM25_Stopping
42 Q0 1435 59 0.234485 BM25_Stopping
42 Q0 601 60 0.231145 BM25_Stopping
42 Q0 2575 61 0.228611 BM25_Stopping
42 Q0 2502 62 0.224895 BM25_Stopping
42 Q0 2268 63 0.223486 BM25_Stopping
42 Q0 1177 64 0.218799 BM25_Stopping
42 Q0 1173 65 0.218180 BM25_Stopping
42 Q0 2669 66 0.217926 BM25_Stopping
42 Q0 3149 67 0.215917 BM25_Stopping
42 Q0 2512 68 0.213108 BM25_Stopping
42 Q0 2617 69 0.213108 BM25_Stopping
42 Q0 3135 70 0.212018 BM25_Stopping
42 Q0 2255 71 0.211311 BM25_Stopping
42 Q0 3119 72 0.209592 BM25_Stopping
42 Q0 961 73 0.207902 BM25_Stopping
42 Q0 2504 74 0.207140 BM25_Stopping
42 Q0 2882 75 0.206126 BM25_Stopping
42 Q0 1908 76 0.204843 BM25_Stopping
42 Q0 1931 77 0.204392 BM25_Stopping
42 Q0 2437 78 0.203698 BM25_Stopping
42 Q0 1995 79 0.202569 BM25_Stopping
42 Q0 2332 80 0.202569 BM25_Stopping
42 Q0 1798 81 0.202569 BM25_Stopping
42 Q0 2258 82 0.198824 BM25_Stopping
42 Q0 2109 83 0.198104 BM25_Stopping
42 Q0 2336 84 0.197682 BM25_Stopping
42 Q0 417 85 0.195775 BM25_Stopping
42 Q0 2535 86 0.194978 BM25_Stopping
42 Q0 1741 87 0.194554 BM25_Stopping
42 Q0 1529 88 0.193374 BM25_Stopping
42 Q0 1785 89 0.193265 BM25_Stopping
42 Q0 1642 90 0.189836 BM25_Stopping
42 Q0 2990 91 0.189629 BM25_Stopping
42 Q0 1399 92 0.187296 BM25_Stopping
42 Q0 2375 93 0.187104 BM25_Stopping
42 Q0 2322 94 0.186304 BM25_Stopping
42 Q0 2741 95 0.185625 BM25_Stopping
42 Q0 2886 96 0.184615 BM25_Stopping
42 Q0 362 97 0.184132 BM25_Stopping
42 Q0 2980 98 0.183299 BM25_Stopping
42 Q0 2451 99 0.181096 BM25_Stopping
42 Q0 819 100 0.180282 BM25_Stopping
