query_id Q0 docid rank BM25_Stopping_score system_name
15 Q0 2464 1 1.250892 BM25_Stopping
15 Q0 2835 2 0.632527 BM25_Stopping
15 Q0 2344 3 0.629675 BM25_Stopping
15 Q0 2611 4 0.574040 BM25_Stopping
15 Q0 2616 5 0.516946 BM25_Stopping
15 Q0 1231 6 0.456729 BM25_Stopping
15 Q0 1795 7 0.449382 BM25_Stopping
15 Q0 2964 8 0.428695 BM25_Stopping
15 Q0 3080 9 0.424353 BM25_Stopping
15 Q0 820 10 0.423086 BM25_Stopping
15 Q0 1947 11 0.410939 BM25_Stopping
15 Q0 2904 12 0.402448 BM25_Stopping
15 Q0 1737 13 0.387955 BM25_Stopping
15 Q0 2701 14 0.374846 BM25_Stopping
15 Q0 2836 15 0.366782 BM25_Stopping
15 Q0 2495 16 0.355126 BM25_Stopping
15 Q0 1807 17 0.337311 BM25_Stopping
15 Q0 1961 18 0.333873 BM25_Stopping
15 Q0 2944 19 0.324226 BM25_Stopping
15 Q0 3054 20 0.309534 BM25_Stopping
15 Q0 2133 21 0.303110 BM25_Stopping
15 Q0 2195 22 0.286928 BM25_Stopping
15 Q0 3125 23 0.277262 BM25_Stopping
15 Q0 89 24 0.271501 BM25_Stopping
15 Q0 3029 25 0.270795 BM25_Stopping
15 Q0 2685 26 0.263497 BM25_Stopping
15 Q0 2388 27 0.255948 BM25_Stopping
15 Q0 1762 28 0.254602 BM25_Stopping
15 Q0 1755 29 0.247210 BM25_Stopping
15 Q0 2290 30 0.246862 BM25_Stopping
15 Q0 2877 31 0.246839 BM25_Stopping
15 Q0 2680 32 0.245777 BM25_Stopping
15 Q0 1676 33 0.240143 BM25_Stopping
15 Q0 693 34 0.231519 BM25_Stopping
15 Q0 3118 35 0.227419 BM25_Stopping
15 Q0 2029 36 0.227404 BM25_Stopping
15 Q0 1981 37 0.227404 BM25_Stopping
15 Q0 2512 38 0.221489 BM25_Stopping
15 Q0 658 39 0.221489 BM25_Stopping
15 Q0 2574 40 0.216862 BM25_Stopping
15 Q0 1730 41 0.215873 BM25_Stopping
15 Q0 3069 42 0.214593 BM25_Stopping
15 Q0 1798 43 0.210536 BM25_Stopping
15 Q0 1808 44 0.208634 BM25_Stopping
15 Q0 2253 45 0.208612 BM25_Stopping
15 Q0 2336 46 0.205456 BM25_Stopping
15 Q0 2923 47 0.200835 BM25_Stopping
15 Q0 2716 48 0.200729 BM25_Stopping
15 Q0 2411 49 0.197200 BM25_Stopping
15 Q0 1760 50 0.195998 BM25_Stopping
15 Q0 3018 51 0.193444 BM25_Stopping
15 Q0 2929 52 0.192888 BM25_Stopping
15 Q0 1838 53 0.191588 BM25_Stopping
15 Q0 2227 54 0.190051 BM25_Stopping
15 Q0 1943 55 0.187372 BM25_Stopping
15 Q0 1809 56 0.186818 BM25_Stopping
15 Q0 2880 57 0.184295 BM25_Stopping
15 Q0 1913 58 0.183338 BM25_Stopping
15 Q0 1459 59 0.180106 BM25_Stopping
15 Q0 2812 60 0.174422 BM25_Stopping
15 Q0 2715 61 0.170172 BM25_Stopping
15 Q0 2537 62 0.167369 BM25_Stopping
15 Q0 1951 63 0.166372 BM25_Stopping
15 Q0 1910 64 0.164453 BM25_Stopping
15 Q0 2323 65 0.162019 BM25_Stopping
15 Q0 2953 66 0.159942 BM25_Stopping
15 Q0 507 67 0.155878 BM25_Stopping
15 Q0 3002 68 0.153991 BM25_Stopping
15 Q0 1846 69 0.152451 BM25_Stopping
15 Q0 2696 70 0.151574 BM25_Stopping
15 Q0 2969 71 0.150873 BM25_Stopping
15 Q0 1761 72 0.150856 BM25_Stopping
15 Q0 2142 73 0.150705 BM25_Stopping
15 Q0 1195 74 0.149660 BM25_Stopping
15 Q0 2134 75 0.148467 BM25_Stopping
15 Q0 3156 76 0.147833 BM25_Stopping
15 Q0 776 77 0.147502 BM25_Stopping
15 Q0 2015 78 0.145000 BM25_Stopping
15 Q0 1658 79 0.145000 BM25_Stopping
15 Q0 1548 80 0.144391 BM25_Stopping
15 Q0 2940 81 0.143310 BM25_Stopping
15 Q0 104 82 0.142776 BM25_Stopping
15 Q0 2000 83 0.141690 BM25_Stopping
15 Q0 2477 84 0.137737 BM25_Stopping
15 Q0 1886 85 0.136626 BM25_Stopping
15 Q0 2570 86 0.128938 BM25_Stopping
15 Q0 2897 87 0.127150 BM25_Stopping
15 Q0 2321 88 0.124624 BM25_Stopping
15 Q0 2364 89 0.124408 BM25_Stopping
15 Q0 2579 90 0.122978 BM25_Stopping
15 Q0 1710 91 0.120015 BM25_Stopping
15 Q0 2451 92 0.119814 BM25_Stopping
15 Q0 1223 93 0.119342 BM25_Stopping
15 Q0 2304 94 0.118782 BM25_Stopping
15 Q0 2456 95 0.118706 BM25_Stopping
15 Q0 3132 96 0.117721 BM25_Stopping
15 Q0 3020 97 0.117545 BM25_Stopping
15 Q0 1643 98 0.117511 BM25_Stopping
15 Q0 2827 99 0.117162 BM25_Stopping
15 Q0 2699 100 0.116808 BM25_Stopping
